Date,Time,X1,X2,X3,X4,X5,X6,X7
17/12/2006,0:00:00,1.044,0.152,242.73,4.4,0,2,0
17/12/2006,0:01:00,1.52,0.22,242.2,7.4,0,1,0
17/12/2006,0:02:00,3.038,0.194,240.14,12.6,0,2,0
17/12/2006,0:03:00,2.974,0.194,239.97,12.4,0,1,0
17/12/2006,0:04:00,2.846,0.198,240.39,11.8,0,2,0
17/12/2006,0:05:00,2.848,0.198,240.59,11.8,0,1,0
17/12/2006,0:06:00,2.858,0.202,241.14,11.8,0,1,0
17/12/2006,0:07:00,2.472,0.208,241.62,10.8,0,2,0
17/12/2006,0:08:00,0.658,0.244,243.75,3,0,1,0
17/12/2006,0:09:00,0.838,0.334,242.09,4.8,0,2,0
17/12/2006,0:10:00,2.608,0.298,239.45,10.8,0,1,0
17/12/2006,0:11:00,2.598,0.296,239.44,10.8,0,1,0
17/12/2006,0:12:00,2.56,0.286,238.71,10.8,0,2,0
17/12/2006,0:13:00,2.526,0.278,236.95,10.6,0,1,0
17/12/2006,0:14:00,2.472,0.194,237.55,10.4,0,1,0
17/12/2006,0:15:00,1.658,0.166,238.48,8,0,1,0
17/12/2006,0:16:00,0.422,0.184,239.79,1.8,0,2,0
17/12/2006,0:17:00,0.79,0.178,239.47,4.6,0,1,0
17/12/2006,0:18:00,2.436,0.12,238.51,10.2,0,1,0
17/12/2006,0:19:00,2.396,0.056,239.03,10,0,1,0
17/12/2006,0:20:00,2.338,0,238.37,9.8,0,1,0
17/12/2006,0:21:00,2.304,0.062,238.38,9.6,0,0,0
17/12/2006,0:22:00,0.276,0,240.56,1.2,0,0,0
17/12/2006,0:23:00,0.712,0,239.84,4.6,0,0,0
17/12/2006,0:24:00,2.332,0.06,239.11,9.6,0,0,0
17/12/2006,0:25:00,2.344,0.058,239.99,9.6,0,0,0
17/12/2006,0:26:00,2.354,0.058,240.64,9.8,0,0,0
17/12/2006,0:27:00,2.332,0.06,239.45,9.6,0,0,0
17/12/2006,0:28:00,2.368,0.056,241.4,9.8,0,0,0
